node_id,pagerank,community
Tamra Davis,1.13433984973032,2804
Gina Prince-Bythewood,1.1299274043983962,3589
Craig Zobel,1.1276414970989608,4685
Geoff Murphy,1.126286077881893,1808
Lewis Teague,1.1237929787503944,5387
Fred Schepisi,1.1227973691974875,2626
Peter Hewitt,1.1227779313878778,1292
James McTeigue,1.1194112902512576,3163
D.J. Caruso,1.1173459391088225,4948
Tony Goldwyn,1.1151151769615448,4948
Steve Carr,1.1121155100634184,3578
Angelina Jolie,1.110785092199636,1292
Walt Becker,1.1096100084051623,2132
Michael Cristofer,1.109008847474149,4903
Lana Wachowski,1.1024765205070455,1696
James Franco,1.102426760146254,3059
Martin McDonagh,1.1008389819039233,1292
